Assignment,Organization Name
943CC6,Espressif Inc
94B555,Espressif Inc
94B97E,Espressif Inc
94E686,Espressif Inc
98CDAC,Espressif Inc
98F4AB,Espressif Inc
A020A6,Espressif Inc
A0764E,Espressif Inc
A47B9D,Espressif Inc
A4CF12,Espressif Inc
A8032A,Espressif Inc
A842E3,Espressif Inc
A848FA,Espressif Inc
AC67B2,Espressif Inc
ACC677,Espressif Inc
B4E62D,Espressif Inc
B8D61A,Espressif Inc
B8F009,Espressif Inc
BCDD4B,Espressif Inc
C049EF,Espressif Inc
C44F33,Espressif Inc
C45BBE,Espressif Inc
C4DD57,Espressif Inc
C82B96,Espressif Inc
C8C9A3,Espressif Inc
CC50E3,Espressif Inc
D48AF0,Espressif Inc
D4D4DA,Espressif Inc
D8A01D,Espressif Inc
DC4F22,Espressif Inc
E05A1B,Espressif Inc
E09806,Espressif Inc
E465B8,Espressif Inc
E831CD,Espressif Inc
E868E7,Espressif Inc
E89F6D,Espressif Inc
E8DB84,Espressif Inc
EC6260,Espressif Inc
EC94CB,Espressif Inc
ECDA3B,Espressif Inc
F008D1,Espressif Inc
F412FA,Espressif Inc
F4CF74,Espressif Inc
# Raspberry Pi Foundation
B827EB,Raspberry Pi Foundation
DCA632,Raspberry Pi Foundation
E45F01,Raspberry Pi Foundation
28CDC1,Raspberry Pi Trading Ltd
# TP-Link Technologies
000A3A,TP-Link Technologies Co Ltd
001478,TP-Link Technologies Co Ltd
0019E0,TP-Link Technologies Co Ltd
001D0F,TP-Link Technologies Co Ltd
002127,TP-Link Technologies Co Ltd
0023CD,TP-Link Technologies Co Ltd
002586,TP-Link Technologies Co Ltd
002719,TP-Link Technologies Co Ltd
14CC20,TP-Link Technologies Co Ltd
14CF92,TP-Link Technologies Co Ltd
14D64D,TP-Link Technologies Co Ltd
18A6F7,TP-Link Technologies Co Ltd
18D6C7,TP-Link Technologies Co Ltd
1C3BF3,TP-Link Technologies Co Ltd
1C40E8,TP-Link Technologies Co Ltd
204E7F,TP-Link Technologies Co Ltd
24050F,TP-Link Technologies Co Ltd
24DF6A,TP-Link Technologies Co Ltd
282C02,TP-Link Technologies Co Ltd
28EE52,TP-Link Technologies Co Ltd
30B5C2,TP-Link Technologies Co Ltd
30DE4B,TP-Link Technologies Co Ltd
3476C5,TP-Link Technologies Co Ltd
349672,TP-Link Technologies Co Ltd
388345,TP-Link Technologies Co Ltd
3894ED,TP-Link Technologies Co Ltd
3C46D8,TP-Link Technologies Co Ltd
40169F,TP-Link Technologies Co Ltd
403F8C,TP-Link Technologies Co Ltd
482254,TP-Link Technologies Co Ltd
502B73,TP-Link Technologies Co Ltd
503AA0,TP-Link Technologies Co Ltd
50C7BF,TP-Link Technologies Co Ltd
50D4F7,TP-Link Technologies Co Ltd
54AF97,TP-Link Technologies Co Ltd
54C80F,TP-Link Technologies Co Ltd
54E6FC,TP-Link Technologies Co Ltd
54EF44,TP-Link Technologies Co Ltd
58639C,TP-Link Technologies Co Ltd
5C63BF,TP-Link Technologies Co Ltd
6032B1,TP-Link Technologies Co Ltd
60A4B7,TP-Link Technologies Co Ltd
645601,TP-Link Technologies Co Ltd
6466B3,TP-Link Technologies Co Ltd
647002,TP-Link Technologies Co Ltd
68FF7B,TP-Link Technologies Co Ltd
704F57,TP-Link Technologies Co Ltd
7405A5,TP-Link Technologies Co Ltd
74DA38,TP-Link Technologies Co Ltd
78A183,TP-Link Technologies Co Ltd
788A20,TP-Link Technologies Co Ltd
8416F9,TP-Link Technologies Co Ltd
84D81B,TP-Link Technologies Co Ltd
882593,TP-Link Technologies Co Ltd
8C210A,TP-Link Technologies Co Ltd
909A4A,TP-Link Technologies Co Ltd
90F652,TP-Link Technologies Co Ltd
940C6D,TP-Link Technologies Co Ltd
984827,TP-Link Technologies Co Ltd
98DE2E,TP-Link Technologies Co Ltd
9CFCE7,TP-Link Technologies Co Ltd
A0F3C1,TP-Link Technologies Co Ltd
A42BB0,TP-Link Technologies Co Ltd
AC84C6,TP-Link Technologies Co Ltd
B04E26,TP-Link Technologies Co Ltd
B09575,TP-Link Technologies Co Ltd
B40F3B,TP-Link Technologies Co Ltd
B8D812,TP-Link Technologies Co Ltd
BC4699,TP-Link Technologies Co Ltd
C006C3,TP-Link Technologies Co Ltd
C025E9,TP-Link Technologies Co Ltd
C04A00,TP-Link Technologies Co Ltd
C46E1F,TP-Link Technologies Co Ltd
C83A35,TP-Link Technologies Co Ltd
CC32E5,TP-Link Technologies Co Ltd
D807B6,TP-Link Technologies Co Ltd
D84732,TP-Link Technologies Co Ltd
DC094C,TP-Link Technologies Co Ltd
E4C32A,TP-Link Technologies Co Ltd
E848B8,TP-Link Technologies Co Ltd
E894F6,TP-Link Technologies Co Ltd
EC086B,TP-Link Technologies Co Ltd
EC172F,TP-Link Technologies Co Ltd
F07959,TP-Link Technologies Co Ltd
F4EC38,TP-Link Technologies Co Ltd
F4F26D,TP-Link Technologies Co Ltd
# Netgear Inc
00095B,Netgear Inc
000FB5,Netgear Inc
00146C,Netgear Inc
00184D,Netgear Inc
001B2F,Netgear Inc
001E2A,Netgear Inc
001F33,Netgear Inc
00223F,Netgear Inc
0024B2,Netgear Inc
0026F2,Netgear Inc
04A151,Netgear Inc
08028E,Netgear Inc
0836C9,Netgear Inc
08BD43,Netgear Inc
100C6B,Netgear Inc
100D7F,Netgear Inc
10DA43,Netgear Inc
1459C0,Netgear Inc
204E71,Netgear Inc
20E52A,Netgear Inc
24B620,Netgear Inc
288088,Netgear Inc
28C68E,Netgear Inc
2C3033,Netgear Inc
2CB05D,Netgear Inc
30469A,Netgear Inc
3894ED,Netgear Inc
4494FC,Netgear Inc
4C60DE,Netgear Inc
506A03,Netgear Inc
6C198F,Netgear Inc
6CB0CE,Netgear Inc
704D7B,Netgear Inc
744401,Netgear Inc
841B5E,Netgear Inc
84A423,Netgear Inc
8CA6DF,Netgear Inc
9C3DCF,Netgear Inc
A00460,Netgear Inc
A021B7,Netgear Inc
A42B8C,Netgear Inc
B03956,Netgear Inc
B07F29,Netgear Inc
B8A386,Netgear Inc
C03F0E,Netgear Inc
C0FFD4,Netgear Inc
C40415,Netgear Inc
CC40D0,Netgear Inc
D86CE9,Netgear Inc
E0469A,Netgear Inc
E4F4C6,Netgear Inc
# Ubiquiti Inc
00156D,Ubiquiti Inc
002722,Ubiquiti Inc
0418D6,Ubiquiti Inc
18E829,Ubiquiti Inc
245A4C,Ubiquiti Inc
24A43C,Ubiquiti Inc
44D9E7,Ubiquiti Inc
68D79A,Ubiquiti Inc
70A741,Ubiquiti Inc
7483C2,Ubiquiti Inc
788A20,Ubiquiti Inc
802AA8,Ubiquiti Inc
944452,Ubiquiti Inc
AC8BA9,Ubiquiti Inc
B4FBE4,Ubiquiti Inc
DC9FDB,Ubiquiti Inc
E063DA,Ubiquiti Inc
F09FC2,Ubiquiti Inc
FCECDA,Ubiquiti Inc
# Google LLC
001A11,Google LLC
18D61C,Google LLC
20DFB9,Google LLC
30FD38,Google LLC
3C5AB4,Google LLC
48D6D5,Google LLC
546009,Google LLC
7032D5,Google LLC
74C63B,Google LLC
94EB2C,Google LLC
A47733,Google LLC
D4F547,Google LLC
E4F042,Google LLC
F40343,Google LLC
F4F5D8,Google LLC
# Samsung Electronics
0007AB,Samsung Electronics Co Ltd
001247,Samsung Electronics Co Ltd
001599,Samsung Electronics Co Ltd
00166C,Samsung Electronics Co Ltd
001D25,Samsung Electronics Co Ltd
0021D2,Samsung Electronics Co Ltd
002339,Samsung Electronics Co Ltd
002637,Samsung Electronics Co Ltd
08FC88,Samsung Electronics Co Ltd
1489FD,Samsung Electronics Co Ltd
14F42A,Samsung Electronics Co Ltd
181E78,Samsung Electronics Co Ltd
183F47,Samsung Electronics Co Ltd
1867B0,Samsung Electronics Co Ltd
244B03,Samsung Electronics Co Ltd
247189,Samsung Electronics Co Ltd
28987B,Samsung Electronics Co Ltd
30074D,Samsung Electronics Co Ltd
342387,Samsung Electronics Co Ltd
380197,Samsung Electronics Co Ltd
38AA3C,Samsung Electronics Co Ltd
4480EB,Samsung Electronics Co Ltd
4844F7,Samsung Electronics Co Ltd
4C3C16,Samsung Electronics Co Ltd
50A4C8,Samsung Electronics Co Ltd
5492BE,Samsung Electronics Co Ltd
58C5CB,Samsung Electronics Co Ltd
5C3C27,Samsung Electronics Co Ltd
641CB0,Samsung Electronics Co Ltd
64B310,Samsung Electronics Co Ltd
6C2F2C,Samsung Electronics Co Ltd
70288B,Samsung Electronics Co Ltd
78471D,Samsung Electronics Co Ltd
801934,Samsung Electronics Co Ltd
842519,Samsung Electronics Co Ltd
843838,Samsung Electronics Co Ltd
8455A5,Samsung Electronics Co Ltd
88329B,Samsung Electronics Co Ltd
90187C,Samsung Electronics Co Ltd
9463D1,Samsung Electronics Co Ltd
9C2A83,Samsung Electronics Co Ltd
A00BBA,Samsung Electronics Co Ltd
A80600,Samsung Electronics Co Ltd
B0C554,Samsung Electronics Co Ltd
B407F9,Samsung Electronics Co Ltd
BC4486,Samsung Electronics Co Ltd
C4731E,Samsung Electronics Co Ltd
CC07AB,Samsung Electronics Co Ltd
D022BE,Samsung Electronics Co Ltd
D487D8,Samsung Electronics Co Ltd
D890E8,Samsung Electronics Co Ltd
E47CF9,Samsung Electronics Co Ltd
EC1F72,Samsung Electronics Co Ltd
F47B5E,Samsung Electronics Co Ltd
F8042E,Samsung Electronics Co Ltd
# Sony Interactive / Electronics
00041F,Sony Interactive Entertainment Inc
001315,Sony Interactive Entertainment Inc
0015C1,Sony Interactive Entertainment Inc
0019C5,Sony Interactive Entertainment Inc
001D0D,Sony Interactive Entertainment Inc
00248D,Sony Interactive Entertainment Inc
709E29,Sony Interactive Entertainment Inc
A8E3EE,Sony Interactive Entertainment Inc
BC60A7,Sony Interactive Entertainment Inc
D8CE3A,Sony Interactive Entertainment Inc
E0AE5E,Sony Interactive Entertainment Inc
FC0F4B,Sony Interactive Entertainment Inc
# Flipper Devices Inc
10061C,Flipper Devices Inc
